id,brand,model,year,source_country,mileage_min,mileage_max,source_marketplace,target_country,target_marketplace,target_search_url,pricing_strategy,last_computed_target_export_price_eur,last_computed_target_export_price_at,notes,source_search_url
MS_LEXUS_ES_2023_FR,LEXUS,ES,2023,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_ES&mileage=min-40000&regdate=2023-2023&sort=price&order=asc
MS_LEXUS_IS_2017_FR,LEXUS,IS,2017,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_IS&mileage=min-40000&regdate=2017-2017&sort=price&order=asc
MS_LEXUS_NX_2018_FR,LEXUS,NX,2018,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_NX&mileage=min-40000&regdate=2018-2018&sort=price&order=asc
MS_LEXUS_NX_2019_FR,LEXUS,NX,2019,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_NX&mileage=min-40000&regdate=2019-2019&sort=price&order=asc
MS_LEXUS_NX_2021_FR,LEXUS,NX,2021,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_NX&mileage=min-40000&regdate=2021-2021&sort=price&order=asc
MS_LEXUS_NX_2023_FR,LEXUS,NX,2023,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_NX&mileage=min-40000&regdate=2023-2023&sort=price&order=asc
MS_LEXUS_RX_2018_FR,LEXUS,RX,2018,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_RX&mileage=min-40000&regdate=2018-2018&sort=price&order=asc
MS_LEXUS_RX_2019_FR,LEXUS,RX,2019,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_RX&mileage=min-40000&regdate=2019-2019&sort=price&order=asc
MS_LEXUS_RX_2021_FR,LEXUS,RX,2021,FR,20000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_RX&mileage=min-20000&regdate=2021-2021&sort=price&order=asc
MS_LEXUS_RX_2022_FR,LEXUS,RX,2022,FR,20000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_RX&mileage=min-20000&regdate=2022-2022&sort=price&order=asc
MS_LEXUS_RX_2023_FR,LEXUS,RX,2023,FR,20000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_RX&mileage=min-20000&regdate=2023-max&sort=price&order=asc
MS_LEXUS_RXH_2016_FR,LEXUS,Rx-H,2016,FR,0,50001,marktplaats,,,,,,,,https://www.marktplaats.nl/l/auto-s/lexus/f/rx-h+hybride-elektrisch-benzine/929+13838/#mileageTo:50001%7CconstructionYearFrom:2016%7CconstructionYearTo:2016%7CsortBy:PRICE%7CsortOrder:INCREASING
MS_LEXUS_UX_2019_FR,LEXUS,UX,2019,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_UX&mileage=min-40000&regdate=2019-2019&sort=price&order=asc
MS_LEXUS_UX_2021_FR,LEXUS,UX,2021,FR,30000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_UX&fuel=6&mileage=min-30000&regdate=2021-2023&sort=price&order=asc
MS_LEXUS_UX_2022_FR,LEXUS,UX,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=LEXUS&u_car_model=LEXUS_UX&mileage=min-40000&regdate=2022-2022&sort=price&order=asc
